Prompt,Prompt_Type,Prompt_Length,HCI_Application
There's an error in button { color red; },Declarative,41,Code Rectification
How's it going,Interrogative,14,Conversational UI
Create a Python script that compute factorial,Declarative,45,Code Generator
Debug the following: if x = 10: print('hi'),Declarative,43,Code Rectification
What about geography,Interrogative,20,Code Generator
What is 67 subtract 31,Interrogative,22,Voice Calculator
Good afternoon,Declarative,14,Conversational UI
Who discovered the internet,Interrogative,27,Knowledge Assistant
Create a CSS script that compute factorial,Declarative,42,Code Generator
Calculate 62 add 7,Imperative,18,Voice Calculator
Who discovered the radio,Interrogative,24,Knowledge Assistant
Where is the beach,Interrogative,18,Location Services UI
I need help with homework,Declarative,25,Graph Generation
Plot a graph for user growth,Declarative,28,Graph Generation
Create a chart showing temperature changes,Declarative,42,Graph Generation
Good afternoon,Declarative,14,Conversational UI
Debug the following: for i in range(10) print(i),Declarative,48,Code Rectification
I need help with understanding,Declarative,30,Conversational UI
Can you help me,Declarative,15,Conversational UI
Who wrote Harry Potter,Interrogative,22,Knowledge Assistant
Could you Navigate to Central Park,Declarative,34,Location Services UI
Graph sales data!!,Declarative,18,Graph Generation
Create a HTML script that parse JSON,Declarative,36,Code Generator
Explain electricity please,Imperative,26,Educational Bot
Help with learning,Declarative,18,Chatbot Interface
Code example for parse JSON in JavaScript,Declarative,41,Code Generator
Find the answer to my query,Imperative,27,Graph Generation
Code example for validate form in Python,Declarative,40,Code Generator
Create a HTML script that validate form,Declarative,39,Code Generator
Tell me about the Industrial Revolution,Declarative,39,Knowledge Assistant
Can you translate I love you into German,Declarative,40,Real-Time Translation UI
Plot a graph for user growth,Declarative,28,Graph Generation
Where is the library,Interrogative,20,Location Services UI
Show me information about history,Imperative,33,Code Rectification
I need help with research,Declarative,25,Conversational UI
Find the answer to my query,Imperative,27,Code Generator
Could you Capital of Germany,Declarative,28,Location Services UI
Tell me more,Declarative,12,Graph Generation
How far is Tokyo,Interrogative,16,Location Services UI
Code example for compute factorial in CSS,Declarative,41,Code Generator
Show me the airport,Imperative,19,Location Services UI
Nice to meet you,Declarative,16,Conversational UI
Plot a graph for population growth,Declarative,34,Graph Generation
Tell me about the Industrial Revolution,Declarative,39,Knowledge Assistant
Calculate 39 to the power of 27,Imperative,31,Voice Calculator
Graph sales data,Declarative,16,Graph Generation
Write Python code for fetch data from API,Declarative,41,Code Generator
Where is Central Park?,Interrogative,22,Location Services UI
Please Who wrote The Great Gatsby,Declarative,33,Knowledge Assistant
Find the answer to my query,Imperative,27,Graph Generation
Create a chart showing temperature changes,Declarative,42,Graph Generation
Find New York near me please,Imperative,28,Location Services UI
Hi there,Conversational,8,Conversational UI
Could you Help with research,Declarative,28,Knowledge Assistant
Show me information about history,Imperative,33,Location Services UI
Define gravity,Declarative,14,Educational Bot
Calculate 67 subtract 50,Imperative,24,Voice Calculator
There's an error in try: pass except: pass,Declarative,42,Code Rectification
Find the mall near me,Imperative,21,Location Services UI
Graph population growth,Declarative,23,Graph Generation
Could you Plot a graph for sales data,Declarative,37,Graph Generation
Generate code in HTML to fetch data from API,Declarative,44,Code Generator
Solve 28 add 32,Imperative,15,Voice Calculator
Suggest something,Declarative,17,Chatbot Interface
Could you I need help with homework,Declarative,35,Code Rectification
Create a chart showing population growth,Declarative,40,Graph Generation
How do you say excuse me in Chinese,Interrogative,35,Real-Time Translation UI
Find the answer to this problem,Imperative,31,Graph Generation
I need to understand cell division please,Declarative,41,Educational Bot
nice to meet you in Arabic,Declarative,26,Real-Time Translation UI
Debug the following: for i in range(10) print(i),Declarative,48,Code Rectification
Who wrote To Kill a Mockingbird,Interrogative,31,Knowledge Assistant
What is the capital of Japan,Interrogative,28,Location Services UI
Find the result of square root of 9,Imperative,35,Voice Calculator
Translate how are you to Portuguese,Imperative,35,Real-Time Translation UI
Find the airport near me,Imperative,24,Location Services UI
What is democracy,Interrogative,17,Educational Bot
How's it going,Interrogative,14,Conversational UI
Calculate 45 squared,Imperative,20,Voice Calculator
How are you,Interrogative,11,Conversational UI
Correct this CSS code: button { color red; },Declarative,44,Code Rectification
Create a chart showing temperature changes,Declarative,42,Graph Generation
Explain democracy,Imperative,17,Educational Bot
Navigate to the train station,Declarative,29,Location Services UI
Tell me about evolution,Declarative,23,Educational Bot
good morning in Spanish,Conversational,23,Real-Time Translation UI
What is the capital of Canada,Interrogative,29,Location Services UI
What is 40 times 8,Interrogative,18,Voice Calculator
How do you say no in Russian,Interrogative,28,Real-Time Translation UI
Hey,Conversational,3,Conversational UI
Who invented the airplane,Interrogative,25,Knowledge Assistant
26 add 50 equals what,Declarative,21,Voice Calculator
Find the museum near me,Imperative,23,Location Services UI
Correct this CSS code: fetch(url).then(res => res.json?,Declarative,55,Code Rectification
Visualize temperature changes as bar,Declarative,36,Graph Generation
Create a Python script that validate form,Declarative,41,Code Generator
What is your name,Interrogative,17,Conversational UI
Can you help me,Declarative,15,Conversational UI
Give me advice on education,Declarative,27,Chatbot Interface
When was the Cold War,Interrogative,21,Knowledge Assistant
Debug the following: try: pass except: pass,Declarative,43,Code Rectification
Generate code in JavaScript to parse JSON,Declarative,41,Code Generator
Hello,Conversational,5,Conversational UI
Fix this code: button { color red; },Declarative,36,Code Rectification
Find the result of square root of 84,Imperative,36,Voice Calculator
There's an error in button { color red; },Declarative,41,Code Rectification
Information on math,Declarative,19,Code Generator
Find the result of 63 over 37,Imperative,29,Voice Calculator
Graph temperature changes,Declarative,25,Graph Generation
What do you think about career,Interrogative,30,Chatbot Interface
Find the result of 48 squared,Imperative,29,Voice Calculator
Who invented the airplane,Interrogative,25,Knowledge Assistant
Generate code in Python to style a button,Declarative,41,Code Generator
Compute 80 subtract 25,Declarative,22,Voice Calculator
Show me Times Square,Imperative,20,Location Services UI
What is the capital of France,Interrogative,29,Location Services UI
Show me Tokyo,Imperative,13,Location Services UI
How do you say maybe in Korean,Interrogative,30,Real-Time Translation UI
Create a HTML script that handle errors,Declarative,39,Code Generator
Navigate to the airport,Declarative,23,Location Services UI
Who invented penicillin,Interrogative,23,Knowledge Assistant
Give me advice on hobbies,Declarative,25,Chatbot Interface
Calculate 80 to the power of 41,Imperative,31,Voice Calculator
Tell me something,Declarative,17,Conversational UI
Create a CSS script that sort a list,Declarative,36,Code Generator
Could you Can you translate goodbye into Italian,Declarative,48,Real-Time Translation UI
Code example for fetch data from API in CSS,Declarative,43,Code Generator
no in Spanish,Declarative,13,Real-Time Translation UI
What is the capital of Germany,Interrogative,30,Location Services UI
Give me 34 minus 48,Declarative,19,Voice Calculator
Define AI,Declarative,9,Educational Bot
What's up,Interrogative,9,Conversational UI
What can you do,Interrogative,15,Conversational UI
Capital of Russia,Declarative,17,Location Services UI
There's an error in if x = 10: print('hi'),Declarative,42,Code Rectification
What is your name!!,Interrogative,19,Conversational UI
Suggest something,Declarative,17,Chatbot Interface
Compute 27 over 34,Declarative,18,Voice Calculator
Navigate to downtown,Declarative,20,Location Services UI
Write JavaScript code for compute factorial,Declarative,43,Code Generator
Correct this HTML code: button { color red; },Declarative,45,Code Rectification
Correct this CSS code: <div class='btn' onclick='alert('hi')'>,Declarative,62,Code Rectification
where is the bathroom in Spanish,Interrogative,32,Real-Time Translation UI
What happened in the Moon landing,Interrogative,33,Knowledge Assistant
Fix this code: <div class='btn' onclick='alert('hi')'>,Declarative,54,Code Rectification
Create a chart showing stock prices,Declarative,35,Graph Generation
There's an error in button { color red; },Declarative,41,Code Rectification
Visualize sales data as bar,Declarative,27,Graph Generation
sorry in French,Declarative,15,Real-Time Translation UI
What happened in the Renaissance,Interrogative,32,Knowledge Assistant
Tell me about enzymes,Declarative,21,Educational Bot
Please I need help with homework,Declarative,32,Knowledge Assistant
Find the answer to my query,Imperative,27,Real-Time Translation UI
Navigate to downtown,Declarative,20,Location Services UI
Who invented the radio,Interrogative,22,Knowledge Assistant
Compute square root of 83,Declarative,25,Voice Calculator
Visualize user growth as bar,Declarative,28,Graph Generation
